country,gender,record_count,average_age_of_death
Poland; Russian Empire; Second Polish Republic,Male,2,66.5
Poland; Second Polish Republic,Male,1,45.0
Poland; Soviet Union,Male,1,65.0
Poland; Soviet Union; Austria-Hungary; Second Polish Republic; People's Republic of Poland,Female,1,59.0
Poland; Soviet Union; People's Republic of Poland,Female,1,46.0
Poland; Soviet Union; Russian Empire,Male,3,55.333333333333336
Poland; Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Male,1,72.0
Poland; Soviet Union; Second Polish Republic,Male,1,47.0
Poland; Switzerland,Male,1,52.0
Poland; United Kingdom,Female,1,90.0
Poland; United Kingdom of Great Britain and Ireland,Female,1,37.0
Poland; United Kingdom; United Kingdom of Great Britain and Ireland,Female,1,44.0
Polish–Lithuanian Commonwealth,Female,2,29.5
Polish–Lithuanian Commonwealth,Male,16,49.375
Polish–Lithuanian Commonwealth; Principality of Transylvania,Male,1,53.0
Portugal,Female,13,63.69230769230769
Portugal,Male,114,54.31578947368421
Portugal; Brazil,Female,1,46.0
Portugal; Brazil,Male,1,75.0
Portugal; British Raj,Male,1,32.0
Portugal; France,Male,1,60.0
Portugal; Peru,Female,1,87.0
Portugal; United Kingdom of Great Britain and Ireland,Male,1,51.0
Prince-Bishopric of Montenegro,Male,2,59.0
Principality of Moldavia,Male,5,42.0
Principality of Serbia,Male,1,45.0
Principality of Wallachia,Male,2,40.5
Principality of Wallachia; Principality of Moldavia,Male,1,81.0
Province of Canada; Lower Canada,Female,1,51.0
Prussia,Male,4,47.5
Prussia; Baden,Male,1,76.0
Ptolemaic Kingdom,Female,1,27.0
Puerto Rico,Female,5,72.6
Puerto Rico,Male,24,59.625
Puerto Rico,Transgender Female,1,69.0
Qajar Iran,Male,1,31.0
Qin,Male,1,41.0
Qin dynasty,Male,1,40.0
Qin dynasty; Chu,Male,1,72.0
Qin dynasty; Qin,Male,1,22.0
Qin; Wei; Wey,Male,1,52.0
Qing dynasty,Female,3,36.666666666666664
Qing dynasty,Male,45,44.08888888888889
Qing dynasty; China,Male,4,49.0
Qing dynasty; Hongkongers,Male,1,64.0
Qing dynasty; Ming dynasty,Female,1,46.0
Qing dynasty; Ming dynasty,Male,3,46.666666666666664
Qing dynasty; Ming dynasty; Kingdom of Tungning,Male,1,66.0
Qing dynasty; Republic of China (1912–1949),Female,1,24.0
Qing dynasty; Republic of China (1912–1949),Male,34,48.294117647058826
Qing dynasty; Taiping Heavenly Kingdom,Male,6,39.0
Qing dynasty; Taiwan under Japanese rule,Male,1,40.0
Quebec,Male,1,72.0
Quito,Male,1,48.0
Ran Wei; Later Zhao,Male,1,32.0
Rashidun Caliphates,Male,3,58.666666666666664
Republic of China (1912–1949),Female,7,27.857142857142858
Republic of China (1912–1949),Male,18,49.666666666666664
Republic of Cuba (1902–59),Male,1,23.0
Republic of Cyprus,Male,6,62.5
Republic of Florence,Male,5,47.4
Republic of Geneva,Male,2,56.0
Republic of Genova,Female,3,50.666666666666664
Republic of Genova,Male,5,34.8
Republic of Lucca,Male,1,62.0
Republic of Mainz,Male,1,40.0
Republic of New Granada,Male,1,82.0
Republic of Pisa,Male,1,69.0
Republic of Siena,Male,2,63.0
Republic of Venice,Female,4,45.5
Republic of Venice,Male,18,57.888888888888886
Republic of Venice; Austrian Empire,Male,1,75.0
Republic of Venice; Ottoman Empire,Male,1,43.0
Republic of the Congo,Male,3,44.666666666666664
Republic of the Congo; Democratic Republic of the Congo,Male,1,58.0
Republic of the Congo; Gabon,Female,1,45.0
Rhodesia,Male,2,65.0
Romania,Female,31,55.83870967741935
Romania,Male,180,57.61666666666667
Romania; Austria-Hungary,Male,3,54.666666666666664
Romania; Ottoman Empire,Male,1,78.0
Romania; People's Republic of Hungary; Kingdom of Romania; Kingdom of Hungary,Male,1,45.0
Romania; Socialist Republic of Romania; Romanian People's Republic,Male,1,59.0
Romania; United Kingdom of Great Britain and Ireland,Female,1,63.0
Russia,Female,12,34.75
Russia,Male,104,42.68269230769231
Russia; Australia,Male,1,22.0
Russia; Azerbaijan; Soviet Union,Male,2,55.5
Russia; Belarus; Soviet Union,Male,2,58.0
Russia; Chile,Female,1,53.0
Russia; Germany,Male,1,25.0
Russia; Germany; Soviet Union,Male,1,86.0
Russia; Germany; Soviet Union; Russian Soviet Federative Socialist Republic,Male,1,84.0
Russia; Israel; Soviet Union,Male,4,73.25
Russia; Kazakhstan,Male,1,47.0
Russia; Kazakhstan; Soviet Union,Male,2,36.5
Russia; Latvia; Soviet Union,Male,1,69.0
Russia; New Zealand; Soviet Union,Male,1,73.0
Russia; Romania; Soviet Union; Russian Empire,Female,1,97.0
Russia; Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire,Male,1,83.0
Russia; Soviet Union,Female,43,65.79069767441861
Russia; Soviet Union,Male,242,63.053719008264466
Russia; Soviet Union; Chechen Republic of Ichkeria,Male,1,53.0
Russia; Soviet Union; Donetsk People's Republic,Male,1,81.0
Russia; Soviet Union; Russian Empire,Female,2,85.5
Russia; Soviet Union; Russian Empire,Male,3,88.33333333333333
Russia; Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Male,1,90.0
Russia; Soviet Union; Russian Soviet Federative Socialist Republic,Male,1,90.0
Russia; Turkmenistan,Male,1,47.0
Russia; Ukraine; Soviet Union,Female,3,32.0
Russia; Ukraine; Soviet Union,Male,2,60.0
Russian Empire,Female,41,42.78048780487805
Russian Empire,Male,308,46.90909090909091
Russian Empire; Belarusian People's Republic,Female,1,53.0
Russian Empire; Congress Poland,Female,1,15.0
Russian Empire; Democratic Republic of Azerbaijan,Male,2,54.5
Russian Empire; Democratic Republic of Georgia,Male,1,37.0
Russian Empire; First Republic of Armenia,Male,1,71.0
Russian Empire; French Third Republic,Male,1,37.0
Russian Empire; Kingdom of Italy,Male,1,53.0
Russian Empire; La ciudad cool,Male,1,38.0
Russian Empire; Livonia; Tsardom of Russia,Female,1,43.0
Russian Empire; Mandatory Palestine; Ottoman Palestine,Male,1,64.0
Russian Empire; Polish National Government,Male,1,38.0
Russian Empire; Polish–Lithuanian Commonwealth,Male,7,58.42857142857143
Russian Empire; Russian Republic; Russian Soviet Federative Socialist Republic,Male,4,36.0
Russian Empire; Russian Republic; Russian state 1918-1920,Male,1,36.0
Russian Empire; Russian Republic; Ukrainian People's Republic; Ukrainian People's Republic of Soviets,Male,1,29.0
Russian Empire; Russian Soviet Federative Socialist Republic,Female,1,28.0
Russian Empire; Russian Soviet Federative Socialist Republic,Male,1,30.0
Russian Empire; Russian state 1918-1920,Male,1,46.0
Russian Empire; Second Polish Republic,Male,8,55.75
Russian Empire; Second Polish Republic; Ukrainian People's Republic,Female,1,36.0
Russian Empire; South Russia,Female,1,26.0
Russian Empire; Tsardom of Russia,Female,1,47.0
Russian Empire; Ukrainian People's Republic,Male,2,41.5
Russian Empire; Ukrainian Soviet Socialist Republic; Ukrainian People's Republic,Male,1,44.0
Russian Empire; Ukrainian Soviet Socialist Republic; Ukrainian People's Republic; Ukrainian State,Male,1,67.0
Russian Empire; United Kingdom of Great Britain and Ireland,Male,1,71.0
Russian Empire; nan,Male,1,53.0
Russian Soviet Federative Socialist Republic; Russian Empire,Female,2,30.5
Russian Soviet Federative Socialist Republic; Russian Empire,Male,7,39.0
Russian Soviet Federative Socialist Republic; Russian Empire; Russian Republic,Male,1,38.0
Russian Soviet Federative Socialist Republic; Russian Empire; Russian Republic; Ukrainian People's Republic; South Russia,Male,1,11.0
Russian Soviet Federative Socialist Republic; Soviet Union,Male,2,30.5
Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire,Female,1,31.0
Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire,Male,14,53.357142857142854
Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire; Far Eastern Republic,Male,2,40.0
Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire; Russian Republic,Male,1,26.0
Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire; Russian Republic; Russian Soviet Federative Socialist Republic,Male,1,65.0
Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire; Ukrainian Soviet Socialist Republic,Male,1,42.0
Rwanda,Female,2,53.5
Rwanda,Male,8,56.625
Saint Kitts and Nevis,Male,3,70.0
Saint Lucia,Male,5,69.0
Saint-Domingue,Male,2,39.5
San Marino,Male,2,48.0
San Nicolás de los Garza,Male,1,57.0
Saudi Arabia,Female,1,51.0
Saudi Arabia,Male,32,48.53125
Saudi Arabia; statelessness,Male,1,54.0
Saxe-Weimar-Eisenach,Male,1,83.0
Saxony,Female,1,33.0
Scotland,Female,3,34.0
Scotland,Male,25,51.88
Scotland; Kingdom of Great Britain,Male,1,45.0
Scotland; United Kingdom,Female,1,51.0
Scotland; United Kingdom,Male,4,51.0
Scotland; United Kingdom; United Kingdom of Great Britain and Ireland,Female,1,83.0
Scotland; United Kingdom; United Kingdom of Great Britain and Ireland,Male,1,52.0
Second Polish Republic,Male,3,53.333333333333336
Seleucid Empire,Male,3,30.333333333333332
Senegal,Female,1,52.0
Senegal,Male,3,42.0
Serbia,Female,6,39.666666666666664
Serbia,Male,45,54.28888888888889
Serbia and Montenegro,Male,1,51.0
Serbia and Montenegro; Socialist Federal Republic of Yugoslavia; Federal Republic of Yugoslavia,Male,1,65.0
Serbia and Montenegro; Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia,Male,1,79.0
Serbia; Kingdom of Yugoslavia,Male,2,74.0
Serbia; Kosovo,Male,1,65.0
Serbia; Ottoman Empire; Austria-Hungary,Male,1,27.0
Serbia; Serbia and Montenegro; Socialist Federal Republic of Yugoslavia; Federal Republic of Yugoslavia,Male,2,55.0
Serbia; Socialist Federal Republic of Yugoslavia,Male,2,73.0
Serbia; Yugoslavia,Male,3,63.333333333333336
Serbia; Yugoslavia; Serbia and Montenegro; Kingdom of Yugoslavia; Federal Republic of Yugoslavia,Female,1,86.0
Serbian Grand Principality; Kingdom of Serbia,Male,1,67.0
Seventeen Provinces,Male,2,46.0
Seychelles,Female,1,33.0
Seychelles,Male,1,35.0
Shu Han,Male,1,62.0
Shu Han; Eastern Han Dynasty,Male,1,54.0
Sierra Leone,Male,2,65.0
Signoria of Milan,Male,1,42.0
Singapore,Female,1,79.0
Singapore,Male,16,66.625
Singapore; Australia; Malaysia,Male,1,87.0
Singapore; Malaysia,Female,2,89.0
Slovakia,Male,15,45.93333333333333
Slovakia; Czechoslovakia,Male,7,43.285714285714285
Slovakia; First Czechoslovak Republic; Slovak State (1939-1945); Czechoslovak Socialist Republic; Czech and Slovak Federal Republic; Second Czechoslovak Republic; Third Czechoslovak Republic,Male,1,87.0
Slovenia,Female,1,26.0
Slovenia,Male,3,63.666666666666664
Slovenia; Croatia; Socialist Federal Republic of Yugoslavia,Male,1,45.0
Slovenia; Socialist Federal Republic of Yugoslavia,Male,8,47.75
Slovenia; Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia,Male,3,77.0
Slovenia; Yugoslavia; Socialist Federal Republic of Yugoslavia,Male,1,74.0
Socialist Federal Republic of Yugoslavia,Female,2,31.0
Socialist Federal Republic of Yugoslavia,Male,14,45.642857142857146
Socialist Federal Republic of Yugoslavia; Federal Republic of Yugoslavia,Male,1,48.0
Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia,Male,5,55.2
Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia; Federal Republic of Yugoslavia,Male,1,60.0
"Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia; Kingdom of Serbs, Croats and Slovenes",Male,1,61.0
Solomon Islands,Male,3,57.666666666666664
Somalia,Male,10,62.9
Song dynasty,Female,1,25.0
Song dynasty,Male,8,50.625
Song dynasty; Ming dynasty; China,Male,1,64.0
Song dynasty; Southern Song Dynasty,Male,1,47.0
South Africa,Female,38,61.026315789473685
South Africa,Male,212,56.25471698113208
South Africa; Australia,Male,2,66.5
South Africa; Union of South Africa,Female,1,74.0
South Africa; Union of South Africa; Cape Colony,Male,1,71.0
South Africa; United Kingdom of Great Britain and Ireland,Male,1,43.0
South African Republic,Male,1,79.0
South Korea,Female,26,45.92307692307692
South Korea,Male,101,52.772277227722775
South Korea,Transgender Female,1,26.0
South Korea; Empire of Japan,Male,1,42.0
South Korea; Joseon; Korean Empire; Empire of Japan,Male,1,61.0
South Korea; Korea,Male,1,46.0
South Sudan,Male,2,56.5
South Vietnam; French Indochina,Male,2,57.5
Southern Han,Male,1,23.0
Southern Netherlands,Male,3,58.333333333333336
Southern Qi,Male,3,17.666666666666668
Southern Tang,Male,2,56.5
Soviet Union,Female,34,41.029411764705884
Soviet Union,Male,303,47.521452145214525
Soviet Union; Austria-Hungary,Male,2,56.0
Soviet Union; Austria-Hungary; First Czechoslovak Republic; West Ukrainian People's Republic,Male,1,57.0
Soviet Union; Austria-Hungary; Ukrainian People's Republic,Male,1,50.0
Soviet Union; Chechen Republic of Ichkeria,Male,2,53.0
Soviet Union; Lokot Autonomy; Russian Soviet Federative Socialist Republic,Female,1,59.0
Soviet Union; Russian Empire,Female,27,59.48148148148148
Soviet Union; Russian Empire,Male,269,53.74349442379182
Soviet Union; Russian Empire; Azerbaijan Soviet Socialist Republic,Male,1,55.0
Soviet Union; Russian Empire; Azerbaijan Soviet Socialist Republic; Democratic Republic of Azerbaijan; Transcaucasian Socialist Federative Soviet Republic,Male,1,44.0
Soviet Union; Russian Empire; Belarusian People's Republic,Male,1,49.0
Soviet Union; Russian Empire; Democratic Republic of Azerbaijan,Male,4,52.75
Soviet Union; Russian Empire; Democratic Republic of Georgia,Male,4,48.5
Soviet Union; Russian Empire; Far Eastern Republic; Russian Soviet Federative Socialist Republic,Male,1,49.0
Soviet Union; Russian Empire; First Republic of Armenia,Male,1,75.0
Soviet Union; Russian Empire; Georgian Soviet Socialist Republic; Democratic Republic of Georgia; Transcaucasian Socialist Federative Soviet Republic,Male,1,55.0
Soviet Union; Russian Empire; Russian Republic,Male,2,50.0
Soviet Union; Russian Empire; Russian Republic; Russian Soviet Federative Socialist Republic,Male,4,58.5
Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Female,4,50.5
Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Male,27,60.851851851851855
Soviet Union; Russian Empire; Second Polish Republic; Republic of Central Lithuania; Belarusian People's Republic,Male,1,46.0
Soviet Union; Russian Empire; Ukrainian People's Republic,Male,4,52.25
Soviet Union; Russian Empire; Ukrainian Soviet Socialist Republic,Male,4,52.5
Soviet Union; Russian Empire; Ukrainian Soviet Socialist Republic; Russian Republic; Ukrainian People's Republic; Ukrainian State,Male,2,52.5
Soviet Union; Russian Empire; Ukrainian Soviet Socialist Republic; Ukrainian People's Republic; Ukrainian State,Male,1,62.0
Soviet Union; Russian Soviet Federative Socialist Republic,Male,2,63.0
Soviet Union; Ukrainian Soviet Socialist Republic,Male,1,45.0
Soviet Union; Weimar Republic; German Empire,Male,1,55.0
Spain,Female,126,57.93650793650794
Spain,Male,677,55.48005908419498
Spain; Argentina,Female,3,76.66666666666667
Spain; Argentina,Male,7,60.714285714285715
Spain; Argentina; Colombia,Male,1,88.0
Spain; Brazil,Male,1,48.0
Spain; Chile,Male,2,60.0
Spain; Crown of Castile,Male,1,63.0
Spain; Cuba,Male,5,69.4
Spain; Dominican Republic,Male,1,74.0
Spain; Ecuador,Male,1,78.0
Spain; El Salvador,Male,3,54.0
Spain; Equatorial Guinea,Male,2,61.5
Spain; France,Female,4,59.5
Spain; France,Male,14,65.14285714285714
Spain; France; Cuba,Male,1,52.0
Spain; Georgia,Male,1,64.0
Spain; Honduras,Male,1,78.0
Spain; Honduras; El Salvador; Costa Rica; Federal Republic of Central America,Male,1,50.0
Spain; Italy; France; Kingdom of Italy,Male,2,58.0
Spain; Italy; Kingdom of Italy,Male,1,15.0
Spain; Kingdom of Castile,Male,1,65.0
Spain; Lithuania; Russia; Germany; Soviet Union,Female,1,90.0
Spain; Mexico,Female,5,74.0
Spain; Mexico,Male,4,75.25
Spain; Mexico; Republic of Texas; First Mexican Empire,Male,1,48.0
Spain; Paraguay; Colombia,Male,1,91.0
Spain; Peru,Male,2,47.0
Spain; Portugal,Female,1,27.0
Spain; Soviet Union,Male,1,65.0
Spain; Spanish East Indies,Male,1,40.0
Spain; Spanish Empire; Habsburg Spain,Male,1,62.0
Spain; Sweden,Male,1,63.0
Spain; Taiwan,Female,1,48.0
Spain; United Kingdom,Female,2,64.5
Spain; United Kingdom; Cuba,Male,1,76.0
Spain; United Kingdom; United Kingdom of Great Britain and Ireland,Male,1,84.0
Spain; United States of America,Female,1,89.0
Spain; United States of America,Male,7,67.42857142857143
Spain; United States of America; Belgium; Israel,Male,1,79.0
Spain; United States of America; Dominican Republic,Male,1,82.0
Spain; United States of America; France,Male,1,75.0
Spain; Uruguay,Male,3,85.0
Spain; Venezuela; Ecuador; Bolivia; Gran Colombia,Male,1,47.0
Spanish Empire,Male,3,55.333333333333336
Sparta,Male,1,85.0
Sri Lanka,Female,1,84.0
Sri Lanka,Male,29,56.41379310344828
State of Palestine,Female,1,23.0
State of Palestine,Male,20,51.85
Sudan,Male,6,61.333333333333336
Sui dynasty,Male,1,32.0
Sui dynasty; Tang Empire,Male,2,41.0
Suriname,Male,8,40.375
Suriname; Kingdom of the Netherlands,Male,1,52.0
Sweden,Female,75,57.053333333333335
Sweden,Male,258,56.63565891472868
Sweden; Austria,Female,1,53.0
Sweden; Denmark,Female,1,27.0
Sweden; Denmark,Male,1,42.0
Sweden; Electorate of Mainz,Male,1,36.0
Sweden; France,Female,1,84.0
Sweden; France,Male,2,55.5
Sweden; Germany,Female,2,64.0
Sweden; Germany,Male,2,51.5
Sweden; Grand Duchy of Finland,Male,1,69.0
Sweden; Iceland,Male,1,55.0
Sweden; Nazi Germany; Weimar Republic; German Empire,Male,1,71.0
Sweden; Poland,Male,1,31.0
Sweden; Polish–Lithuanian Commonwealth,Male,1,47.0
Sweden; Russian Empire,Female,1,41.0
Sweden; Somalia,Male,1,48.0
Sweden; South Africa,Female,1,40.0
Sweden; Turkey,Male,1,54.0
Sweden; Union between Sweden and Norway,Male,1,46.0
Sweden; United Kingdom of Great Britain and Ireland,Female,1,45.0
Switzerland,Female,32,48.71875
Switzerland,Male,167,57.053892215568865
Switzerland; Austria,Female,1,79.0
Switzerland; Austria,Male,1,79.0
Switzerland; France,Male,13,63.15384615384615
Switzerland; France; Papal States; Duchy of Modena and Reggio,Male,1,61.0
Switzerland; France; Romania,Female,1,65.0
Switzerland; Germany,Male,11,64.81818181818181
Switzerland; Germany; Soviet Union,Male,1,63.0
Switzerland; Germany; United Kingdom of Great Britain and Ireland,Female,1,58.0
Switzerland; Kingdom of Prussia; Russian Empire; Old Swiss Confederacy,Male,1,76.0
Switzerland; Kingdom of the Netherlands; Alemania,Male,1,91.0
Switzerland; Nazi Germany; Weimar Republic; German Empire,Male,1,70.0
Switzerland; Paraguay,Male,2,54.5
Switzerland; Romania,Female,1,40.0
Switzerland; Russian Empire,Male,2,54.5
Switzerland; Turkey,Female,1,74.0
Switzerland; United Kingdom,Male,1,71.0
Switzerland; United Kingdom; Germany,Female,1,72.0
Syria,Female,4,43.5
Syria,Male,29,60.241379310344826
Syria; ancient Rome,Male,1,75.0
Taifa of Granada,Male,1,31.0
Taiping Heavenly Kingdom,Female,1,26.0
Taiping Heavenly Kingdom,Male,1,15.0
Taiping Heavenly Kingdom; Chinese Empire,Male,2,37.0
Taiwan,Female,10,41.6
Taiwan,Male,43,66.93023255813954
Taiwan under Japanese rule,Male,1,50.0
Taiwan; China,Male,3,38.333333333333336
Taiwan; Empire of Japan,Male,1,81.0
Taiwan; Qing dynasty,Male,1,35.0
Taiwan; Qing dynasty; China,Male,1,44.0
Taiwan; Qing dynasty; Republic of China (1912–1949),Male,1,97.0
Taiwan; Republic of China (1912–1949),Male,14,82.71428571428571
Taiwan; Taiwan under Japanese rule,Male,2,60.0
Taiwan; Taiwan under Japanese rule; Republic of China (1912–1949),Male,3,62.333333333333336
Tajikistan,Female,1,80.0
Tajikistan; Soviet Union,Male,1,63.0
Tang Empire,Female,4,44.25
Tang Empire,Male,54,54.25925925925926
Tang Empire; Later Liang dynasty,Male,1,16.0
Tang Empire; Yan,Male,1,55.0
Tanzania,Female,1,79.0
Tanzania,Male,6,64.66666666666667
Territory of Papua,Male,1,21.0
Thailand,Male,8,55.875
Tlaxcala,Male,1,58.0
Togo,Female,1,28.0
Togo,Male,1,61.0
Tonga,Male,1,64.0
Tonkin,Male,1,41.0
Trinidad and Tobago,Female,4,40.5
Trinidad and Tobago,Male,15,56.93333333333333
Tsardom of Russia,Male,8,34.375
Tunisia,Female,2,55.0
Tunisia,Male,19,53.05263157894737
Tunisia; Ottoman Empire,Male,1,51.0
Turkey,Female,23,54.04347826086956
Turkey,Male,152,60.3421052631579
Turkey,Transgender Female,2,23.0
Turkey; Australia,Male,1,45.0
Turkey; France,Male,1,47.0
Turkey; Germany,Male,3,52.0
Turkey; Ottoman Empire,Female,1,33.0
Turkey; Ottoman Empire,Male,11,64.72727272727273
Turkey; Turkish Republic of Northern Cyprus,Male,1,80.0
Turkish Republic of Northern Cyprus,Male,2,59.5
Turkmenistan; Soviet Union,Male,2,68.0
Turkmenistan; Soviet Union; Russian Empire,Male,1,47.0
Tuvalu,Male,3,61.333333333333336
Uganda,Female,3,61.666666666666664
Uganda,Male,12,61.5
Uganda; Rwanda,Male,1,33.0
Ukraine,Female,3,37.0
Ukraine,Male,23,43.73913043478261
Ukraine; Israel,Male,1,32.0
Ukraine; Soviet Union,Female,3,43.666666666666664
Ukraine; Soviet Union,Male,49,58.204081632653065
Ukraine; Soviet Union; Austria-Hungary; Ukrainian Soviet Socialist Republic; Ukrainian People's Republic,Male,1,40.0
Ukraine; Soviet Union; Donetsk People's Republic,Male,1,42.0
Ukraine; Soviet Union; Kingdom of the Netherlands,Female,1,50.0
Ukraine; Soviet Union; Luhansk People's Republic,Male,1,40.0
Umayyad Caliphate,Male,3,54.0
Umayyad Caliphate; Rashidun Caliphates,Male,1,45.0
Umayyad dynasty,Male,1,52.0
United Arab Emirates,Male,3,34.0
United Kingdom,Female,475,59.98105263157895
United Kingdom,Male,2071,61.79623370352487
United Kingdom of Great Britain and Ireland,Female,90,47.93333333333333
United Kingdom of Great Britain and Ireland,Male,655,46.86412213740458
United Kingdom of Great Britain and Ireland,Transgender Male,1,70.0
United Kingdom of Great Britain and Ireland; Irish Republic,Male,1,52.0
United Kingdom; Argentina,Male,1,79.0
United Kingdom; Australia,Female,3,70.66666666666667
United Kingdom; Australia,Male,17,65.47058823529412
United Kingdom; Australia; United Kingdom of Great Britain and Ireland,Male,4,67.5
United Kingdom; Austria-Hungary; United Kingdom of Great Britain and Ireland,Male,2,64.5
United Kingdom; British Raj,Female,1,30.0
United Kingdom; Cuba,Male,1,53.0
United Kingdom; Czechoslovakia,Male,1,87.0
United Kingdom; Federation of Rhodesia and Nyasaland; Southern Rhodesia,Male,1,25.0
United Kingdom; Germany,Female,4,66.0
United Kingdom; Germany,Male,5,65.4
United Kingdom; Germany; United Kingdom of Great Britain and Ireland,Female,1,86.0
United Kingdom; Germany; United Kingdom of Great Britain and Ireland,Male,4,69.5
United Kingdom; Gibraltar,Male,1,81.0
United Kingdom; Guyana; United Kingdom of Great Britain and Ireland,Male,1,56.0
United Kingdom; Iceland,Male,1,78.0
United Kingdom; India,Male,1,86.0
United Kingdom; India; British Raj,Male,1,72.0
United Kingdom; Iraq,Female,1,66.0
United Kingdom; Irish Free State; United Kingdom of Great Britain and Ireland,Male,1,72.0
United Kingdom; Israel; Soviet Union,Male,1,70.0
United Kingdom; Kingdom of England,Male,2,61.5
United Kingdom; Kingdom of England; Commonwealth of England; The Protectorate,Male,1,59.0
United Kingdom; Kingdom of Great Britain,Male,3,47.666666666666664
United Kingdom; Kingdom of Great Britain; United Kingdom of Great Britain and Ireland,Male,1,51.0
United Kingdom; Kingdom of Hungary,Male,1,84.0
United Kingdom; Kingdom of Hungary; United Kingdom of Great Britain and Ireland,Male,1,63.0
United Kingdom; Kingdom of Scotland,Male,1,63.0
United Kingdom; Kingdom of Yugoslavia,Male,1,62.0
United Kingdom; Kingdom of the Netherlands,Male,1,69.0
United Kingdom; Malaysia,Female,1,96.0
United Kingdom; Malta,Female,1,44.0
United Kingdom; New Zealand,Male,3,67.33333333333333
United Kingdom; New Zealand; United Kingdom of Great Britain and Ireland,Male,1,87.0
United Kingdom; Nigeria,Male,1,82.0
United Kingdom; People's Republic of China,Male,1,60.0
United Kingdom; Republic of Cyprus,Male,2,39.0
United Kingdom; Republic of Venice,Male,1,45.0
United Kingdom; Romania; United Kingdom of Great Britain and Ireland,Male,1,56.0
United Kingdom; Russia; New Zealand,Male,1,66.0
United Kingdom; Russia; Soviet Union,Male,3,65.33333333333333
United Kingdom; Russian Empire,Female,1,42.0
United Kingdom; Russian Empire,Male,1,59.0
United Kingdom; Russian Empire; United Kingdom of Great Britain and Ireland,Male,1,67.0
United Kingdom; Somalia,Male,1,23.0
United Kingdom; South Africa,Male,1,80.0
United Kingdom; South Africa; Rhodesia,Female,1,52.0
United Kingdom; South Africa; United Kingdom of Great Britain and Ireland,Male,1,47.0
United Kingdom; Soviet Union,Male,1,70.0
United Kingdom; Soviet Union; Russian Empire; United Kingdom of Great Britain and Ireland,Male,1,24.0
United Kingdom; Soviet Union; United Kingdom of Great Britain and Ireland,Male,1,68.0
United Kingdom; Sri Lanka,Male,1,68.0
United Kingdom; Trinidad and Tobago,Male,1,45.0
United Kingdom; United Kingdom of Great Britain and Ireland,Female,152,69.59868421052632
United Kingdom; United Kingdom of Great Britain and Ireland,Male,582,65.04810996563575
United Kingdom; Weimar Republic,Male,1,81.0
United Kingdom; Yugoslavia,Male,1,78.0
United Kingdom; Zambia; United Kingdom of Great Britain and Ireland,Male,1,84.0
United States of America,Female,2978,64.20181329751512
United States of America,Male,13961,63.74937325406489
United States of America,Transgender Female,9,39.333333333333336
United States of America,Transgender Female; Female,1,65.0
United States of America,Transgender Male,8,51.625
United States of America; Argentina,Female,1,52.0
United States of America; Argentina,Male,3,69.0
United States of America; Argentina; Panama,Male,1,82.0
United States of America; Argentina; Russian Empire,Female,1,69.0
United States of America; Armenia,Male,1,82.0
United States of America; Australia,Female,4,62.0
United States of America; Australia,Male,13,67.61538461538461
United States of America; Australia; New Zealand,Female,1,73.0
United States of America; Australia; United Kingdom of Great Britain and Ireland,Male,1,72.0
United States of America; Austria,Female,7,72.42857142857143
United States of America; Austria,Male,30,77.73333333333333
United States of America; Austria-Hungary,Female,1,58.0
United States of America; Austria-Hungary,Male,9,68.88888888888889
United States of America; Austria-Hungary; Austrian Empire,Male,1,87.0
United States of America; Austria-Hungary; Czechoslovakia,Female,1,61.0
United States of America; Austria-Hungary; Czechoslovakia,Male,1,50.0
United States of America; Austria-Hungary; Federal State of Austria; Republic of German-Austria; First Republic of Austria,Male,1,55.0
"United States of America; Austria-Hungary; Independent State of Croatia; Kingdom of Yugoslavia; State of Slovenes, Croats and Serbs; Kingdom of Serbs, Croats and Slovenes",Male,1,85.0
United States of America; Austria; Australia,Male,1,84.0
United States of America; Austria; Austria-Hungary,Female,2,53.5
United States of America; Austria; Austria-Hungary,Male,1,67.0
United States of America; Austria; Bulgaria,Male,1,92.0
United States of America; Austria; Germany,Male,2,72.0
United States of America; Austria; Israel,Female,1,42.0
United States of America; Austria; Weimar Republic,Male,1,60.0
United States of America; Austrian Empire,Female,1,75.0
United States of America; Austrian Empire,Male,2,67.5
United States of America; Bahamas,Male,2,57.5
United States of America; Bangladesh,Male,1,43.0
United States of America; Belgium,Female,1,83.0
United States of America; Belgium,Male,3,79.66666666666667
United States of America; Brazil,Female,1,74.0
